index,Name,CatID,Total.Records,Region,Category_Name,Entity_prc,State,OrgID,Location,Date.Made.Public,Year,Source.of.Breach.Notification,Type,Month.of.Breach
1117,Mid-Florida Urological Associates,18,-1,Southeast,"Physician, Hospital",MED,Florida,100057800,Orlando,2/20/2013,2013,PHIPrivacy.net,INSD,2
1118,Arizona Oncology,18,-1,Southwest,"Physician, Hospital",MED,Arizona,100005400,Oro Valley,8/28/2012,2012,PHIPrivacy.net,INSD,8
1119,"Community Health Network, Community Health Medcheck",18,180,Midwest,"Physician, Hospital",MED,Indiana,100020400,Speedway,5/17/2013,2013,PHIPrivacy.net,INSD,5
1120,Quest Diagnostics,18,-1,Northeast,"Physician, Hospital",MED,New Jersey,100077900,Madison,9/16/2012,2012,PHIPrivacy.net,INSD,9
1121,Howard University Hospital,18,-1,Southeast,"Physician, Hospital",MED,District Of Columbia,100040100,Washington,5/15/2012,2012,PHIPrivacy.net,INSD,5
1122,University of Florida,18,"5,682",Southeast,"Physician, Hospital",MED,Florida,100101100,Gainesville,5/29/2013,2013,Media,INSD,5
1123,Louisiana State University (LSU) Hospital System,18,416,Southeast,"Physician, Hospital",MED,Louisiana,100051800,Baton Rouge,12/4/2012,2012,PHIPrivacy.net,INSD,12
1124,"South Miami Hospital, Baptist Health",18,834,Southeast,"Physician, Hospital",MED,Florida,100085600,Miami,3/1/2013,2013,PHIPrivacy.net,INSD,3
1125,"Health and Sports Rehab, Inc.",18,-1,Northeast,"Physician, Hospital",MED,Massachusetts,100036800,Dorchester,9/29/2012,2012,PHIPrivacy.net,INSD,9
1126,Brentwood Primary Care Clinic,18,-1,Southeast,"Physician, Hospital",MED,Florida,100011900,Jacksonville,1/24/2013,2013,PHIPrivacy.net,INSD,1
1127,Department of Veterans Affairs,18,-1,Southeast,"Physician, Hospital",GOV,District Of Columbia,100024500,Washington,8/3/2011,2011,PHIPrivacy.net,INSD,8
1128,Department of Veterans Affairs,18,-1,Southeast,"Physician, Hospital",GOV,North Carolina,100024600,Fayetteville,8/8/2011,2011,PHIPrivacy.net,INSD,8
1129,"Jackson North Medical Center, Jackson Health System",18,566,Southeast,"Physician, Hospital",MED,Florida,100043500,Miami,12/1/2012,2012,PHIPrivacy.net,INSD,12
1130,LSU Health New Orleans School of Medicine,18,"5,000",NA,"Physician, Hospital",EDU,Louisiana,200000406,New Orleans,15-Sep-15,2015,Media,PORT,9
1131,University of Minnesota Reproductive Medicine Center,18,"3,100",Midwest,"Physician, Hospital",MED,Minnesota,100103300,Minneapolis,1/31/2008,2008,Dataloss DB,PORT,1
1132,St. Francis Hospital,18,-1,Northeast,"Physician, Hospital",MED,Delaware,100087300,Wilmington,8/13/2011,2011,PHIPrivacy.net,PORT,8
1133,Kaiser Medical Center,18,-1,West,"Physician, Hospital",MED,California,100045200,Oakland,2/14/2007,2007,Dataloss DB,PORT,2
1134,Harrisburg Endoscopy and Surgery Center,18,0,NA,"Physician, Hospital",MED,Pennsylvania,200001185,Harrisburg,4-May-17,2017,Media,HACK,5
1135,Tenet Healthcare Corporation,18,"37,000",Southwest,"Physician, Hospital",MED,Texas,100092700,Dallas,2/14/2008,2008,Dataloss DB,INSD,2
1136,IRS Data Retrieval Tool,18,"100,000",NA,"Physician, Hospital",GOV,District Of Columbia,200001160,Washington,7-Apr-17,2017,Media,HACK,4
1137,Our Lady of Peace,18,"24,600",Southeast,"Physician, Hospital",MED,Kentucky,100070300,Louisville,4/30/2010,2010,Dataloss DB,PHYS,4
1138,Mount Sinai Medical Center,18,311,Northeast,"Physician, Hospital",MED,New York,100059800,New York,10/23/2006,2006,Dataloss DB,PORT,10
1139,Loyola University Medical Center,18,-1,Midwest,"Physician, Hospital",MED,Illinois,100051900,Chicago,5/27/2011,2011,PHIPrivacy.net,PORT,5
1140,Cedars-Sinai Medical Center,18,-1,West,"Physician, Hospital",MED,California,100016100,Los Angeles,12/23/2008,2008,Dataloss DB,INSD,12
1141,Detroit Medical Center-Harper University Hospital,18,"1,087",NA,"Physician, Hospital",MED,Michigan,200000030,Detroit,13-Mar-14,2014,Media,INSD,3
1142,Griffin Hospital,18,-1,Northeast,"Physician, Hospital",MED,Connecticut,100034400,Derby,3/29/2010,2010,PHIPrivacy.net,INSD,3
1143,Atlanta Perinatal Associates,18,-1,Southeast,"Physician, Hospital",MED,Georgia,100005700,Atlanta,9/28/2011,2011,PHIPrivacy.net,INSD,9
1144,New York Urology Associates,18,-1,Northeast,"Physician, Hospital",MED,New York,100062600,Cheektowaga,7/30/2010,2010,NAID,PHYS,7
1145,Newland Medical Associates,18,-1,Midwest,"Physician, Hospital",MED,Michigan,100062900,Southfield,12/21/2010,2010,PHIPrivacy.net,INSD,12
1146,Diabetes Direct Inc,18,-1,Southeast,"Physician, Hospital",MED,Florida,100025200,Juniper,3/2/2010,2010,Databreaches.net,INSD,3
1147,Mercy Willard Hospital,18,-1,Midwest,"Physician, Hospital",MED,Ohio,100056600,Willard,6/20/2010,2010,PHIPrivacy.net,INSD,6
1148,University of Maryland Medical Center,18,-1,Northeast,"Physician, Hospital",MED,Maryland,100102400,Baltimore,7/15/2011,2011,PHIPrivacy.net,INSD,7
1149,Indiana Regional Medical Center,18,-1,Northeast,"Physician, Hospital",MED,Pennsylvania,100041700,Indiana,6/3/2011,2011,HHS via PHIPrivacy.net,PHYS,6
1150,Wichita Radiological Group,18,-1,Midwest,"Physician, Hospital",MED,Kansas,100111900,Wichita,7/9/2008,2008,Media,INSD,7
1151,Lucile Packard Children's Hospital at Stanford University,18,-1,West,"Physician, Hospital",MED,California,100052200,Palo Alto,9/9/2010,2010,PHIPrivacy.net,STAT,9
1152,Knox Community Hospital,18,-1,Midwest,"Physician, Hospital",MED,Ohio,100047200,Mount Vernon,12/9/2011,2011,HHS via PHIPrivacy.net,PHYS,12
1153,"Knoxville Medical Clinic, DRD Management",18,-1,Southeast,"Physician, Hospital",MED,Tennessee,100047300,Knoxville,4/18/2012,2012,Dataloss DB,PHYS,4
1154,IntraCare North Hospital,18,-1,Southwest,"Physician, Hospital",MED,Texas,100042700,Houston,5/8/2012,2012,PHIPrivacy.net,INSD,5
1155,Coliseum Hospital,18,-1,Southeast,"Physician, Hospital",MED,Georgia,100019200,Macon,12/7/2007,2010,PHIPrivacy.net,INSD,12
1156,University of Texas Southwestern Medical Center,18,200,Southwest,"Physician, Hospital",GOV,Texas,100105500,Dallas,3/5/2010,2010,Databreaches.net,INSD,3
1157,"High Point Regional Health System, Premier Imaging LLC",18,47,Southeast,"Physician, Hospital",MED,North Carolina,100038700,High Point,11/1/2011,2011,Databreaches.net,INSD,11
1158,Trinity Medical Center (Montclair Baptist Medical Center),18,"4,500",Southeast,"Physician, Hospital",MED,Alabama,100096800,Birmingham,6/3/2011,2011,PHIPrivacy.net,PHYS,6
1159,MidState Medical Center,18,"93,500",Northeast,"Physician, Hospital",MED,Connecticut,100057900,Hartford,4/5/2011,2011,PHIPrivacy.net,PORT,4
1160,Head Injury Association,18,56,Northeast,"Physician, Hospital",MED,New York,100036500,Long Island,4/14/2012,2012,Dataloss DB,INSD,4
1161,Geisinger Health System,18,-1,Northeast,"Physician, Hospital",MED,Pennsylvania,100032300,Wilkes-Barre,12/28/2010,2010,PHIPrivacy.net,DISC,12
1162,University of Arkansas for Medical Sciences (UAMS),18,-1,Southeast,"Physician, Hospital",MED,Arkansas,100100000,Little Rock,11/27/2012,2012,PHIPrivacy.net,INSD,11
1163,Tallahassee Memorial HealthCare,18,124,Southeast,"Physician, Hospital",MED,Florida,100092200,Tallahassee,2/1/2013,2013,PHIPrivacy.net,INSD,2
1164,U.S. Department of Defense,18,"14,000",Southeast,"Physician, Hospital",GOV,District Of Columbia,100097400,Washington,4/28/2006,2006,Dataloss DB,HACK,4
1165,Moores Cancer Center,18,"30,000",West,"Physician, Hospital",MED,California,100059400,San Diego,7/16/2009,2009,Dataloss DB,HACK,7
1166,Duke University Medical Center,18,-1,Southeast,"Physician, Hospital",EDU,North Carolina,100026100,Durham,6/4/2005,2005,Dataloss DB,HACK,6
1167,University of Washington Medical Center,18,-1,West,"Physician, Hospital",MED,Washington,100105900,Seattle,2/16/2006,2006,Dataloss DB,HACK,2
1168,University of Nevada,18,"7,526",West,"Physician, Hospital",EDU,Nevada,100103800,Reno,6/18/2010,2010,Databreaches.net,STAT,6
1169,"The Surgeons of Lake County, LLC",18,"7,067",Midwest,"Physician, Hospital",MED,Illinois,100095200,Libertyville,8/3/2012,2012,HHS via PHIPrivacy.net,HACK,8
1170,Uniontown Hospital,18,-1,Northeast,"Physician, Hospital",MED,Pennsylvania,100098000,Uniontown,3/7/2013,2013,PHIPrivacy.net,HACK,3
1171,Ohio State University Medical Center,18,-1,Midwest,"Physician, Hospital",MED,Ohio,100068200,Columbus,1/7/2012,2012,PHIPrivacy.net,HACK,1
1172,Presbyterian Anesthesia Associates,18,"9,988",Southeast,"Physician, Hospital",MED,North Carolina,100073700,Charlotte,5/14/2013,2013,Media,HACK,5
1173,Southwest Medical Association,18,-1,West,"Physician, Hospital",MED,Nevada,100086200,Las Vegas,8/30/2008,2008,Media,PHYS,8
1174,Southwest Seattle Orthopaedic and Sports Medicine,18,-1,West,"Physician, Hospital",MED,Washington,100086300,Burien,10/29/2010,2010,HHS via PHIPrivacy.net,HACK,10
1175,"University of Virginia Medical Center, Continuum Home Infusion",18,-1,Southeast,"Physician, Hospital",MED,Virginia,100105700,Charlottesville,12/1/2012,2012,PHIPrivacy.net,PORT,12
1176,Mount Sinai Multispecialty Physicians Practice,18,-1,Northeast,"Physician, Hospital",MED,New York,100059900,New York City,8/19/2011,2011,PHIPrivacy.net,PORT,8
1177,Mount Sinai School of Medicine,18,-1,Northeast,"Physician, Hospital",MED,New York,100060000,New York,10/27/2010,2010,PHIPrivacy.net,STAT,10
1178,Ochsner Medical Center,18,-1,Southeast,"Physician, Hospital",MED,Louisiana,100065200,New Orleans,2/21/2012,2012,PHIPrivacy.net,PORT,2
1179,"Dr. Baceski's office, internal medicine",18,-1,Northeast,"Physician, Hospital",MED,Pennsylvania,100025800,Somerset,1/5/2007,2007,Media,PORT,1
1180,St. Mary and Elizabeth Hospital Women's Center,18,-1,Southeast,"Physician, Hospital",MED,Kentucky,100088500,Louisville,4/21/2010,2010,PHIPrivacy.net,STAT,4
1181,Cardon Outreach,18,22,NA,"Physician, Hospital",MED,Texas,200000815,The Woodlands,27-Jul-16,2016,Media,INSD,7
1182,St. Rita's Medical Center,18,242,Midwest,"Physician, Hospital",MED,Ohio,100088800,Lima,3/5/2009,2009,Dataloss DB,PHYS,3
1183,Martin Luther King Jr. Multi-Service Ambulatory Care Center,18,-1,West,"Physician, Hospital",GOV,California,100053700,Los Angeles,9/16/2010,2010,Databreaches.net,INSD,9
1184,Columbia University Medical Center,18,-1,Northeast,"Physician, Hospital",MED,New York,100020000,New York,9/27/2010,2010,PHIPrivacy.net,DISC,9
1185,Columbia-St. Mary's Ozaukee Hospital,18,-1,Midwest,"Physician, Hospital",MED,Wisconsin,100020100,Mequon,5/19/2011,2011,PHIPrivacy.net,INSD,5
1186,"Ochsner Health System , H.E.L.P. Financial Corporation",18,-1,Southeast,"Physician, Hospital",MED,Louisiana,100065000,New Orleans,12/10/2010,2010,HHS via PHIPrivacy.net,PHYS,12
1187,Ochsner Medical Center,18,-1,Southeast,"Physician, Hospital",MED,Louisiana,100065300,New Orleans,1/5/2012,2012,PHIPrivacy.net,INSD,1
1188,Cancer Care Northwest,18,-1,West,"Physician, Hospital",GOV,Washington,100014500,Spokane,3/16/2011,2011,PHIPrivacy.net,DISC,3
1189,St. Therese Medical Group,18,-1,West,"Physician, Hospital",MED,California,100088900,Bakersfield,9/17/2012,2012,California Attorney General,STAT,9
1190,Office of Dr. Clark-Neitzel,18,-1,West,"Physician, Hospital",MED,Washington,100065600,Olympia,9/21/2012,2012,HHS via PHIPrivacy.net,PORT,9
1191,Northwestern Medical Faculty Foundation,18,245,Midwest,"Physician, Hospital",MED,Illinois,100064300,Chicago,3/25/2010,2010,Dataloss DB,INSD,3
1192,University Health Care,18,"4,800",West,"Physician, Hospital",MED,Utah,100099200,Salt Lake City,3/13/2008,2008,Dataloss DB,PORT,3
1193,"Prosthetic & Orthotic Care, Inc.",18,"23,015",NA,"Physician, Hospital",MED,Missouri,200000841,St. Louis,11-Aug-16,2016,Media,HACK,8
1194,Providence Alaska Medical Center,18,250,West,"Physician, Hospital",MED,Alaska,100076900,Anhorage,8/11/2007,2007,Dataloss DB,PORT,8
1195,Baylor Health Care System Inc.,18,100000,Southwest,"Physician, Hospital",MED,Texas,100007800,Dallas,11/1/2008,2008,Dataloss DB,PORT,11
1196,Sutter Lakeside Hospital,18,-1,West,"Physician, Hospital",MED,California,100091500,Lakeport,12/10/2007,2007,Dataloss DB,PORT,12
1197,Children's Hospital of Orange County,18,-1,West,"Physician, Hospital",MED,California,100018000,Orange,6/28/2010,2010,PHIPrivacy.net,PHYS,6
1198,Children's Hospital of Philadelphia,18,942,Northeast,"Physician, Hospital",MED,Pennsylvania,100018100,Philadelphia,12/1/2009,2009,Dataloss DB,PORT,12
1199,Halifax Health,18,"33,000",Southeast,"Physician, Hospital",MED,Florida,100035300,Daytona Beach,10/15/2009,2009,Dataloss DB,PORT,10
1200,Palo Alto Medical Foundation,18,1000,West,"Physician, Hospital",MED,California,100070700,Palo Alto,4/1/2009,2009,Dataloss DB,PORT,4
1201,ABQ Health Partners,18,-1,Southwest,"Physician, Hospital",MED,New Mexico,100000500,Albuquerque,12/10/2012,2012,PHIPrivacy.net,PORT,12
1202,Medcenter One,18,-1,Midwest,"Physician, Hospital",MED,North Dakota,100055200,Bismarck,11/17/2011,2011,PHIPrivacy.net,PORT,11
1203,"University of California, San Francisco (UCSF) School of Medicine",18,-1,West,"Physician, Hospital",MED,California,100100700,San  Francisco,1/27/2010,2010,Dataloss DB,PORT,1
1204,University of Texas M.D. Anderson Cancer Center,18,-1,Southwest,"Physician, Hospital",MED,Texas,100105100,Houston,2/22/2006,2006,Dataloss DB,PORT,2
1205,Private Practice in Medical Arts Building,18,-1,Northeast,"Physician, Hospital",MED,Pennsylvania,100076500,Greensburg,2/3/2010,2010,HHS via Databreaches.net,PORT,2
1206,Montefiore Medical Center,18,-1,Northeast,"Physician, Hospital",MED,New York,100059300,Bronx,3/23/2010,2010,PHIPrivacy.net,PORT,3
1207,Washington Redskins,18,0,NA,"Physician, Hospital",BSO,Virginia,200000631,Ashburn,1-Jun-16,2016,Media,PORT,6
1208,Cincinnati Children's Hospital Medical Center,18,-1,Midwest,"Physician, Hospital",MED,Ohio,100018600,Cincinnati,5/25/2010,2010,Databreaches.net,PORT,5
1209,"Barnes-Jewish Hospital, The Siteman Cancer Center, Washington University",18,-1,West,"Physician, Hospital",MED,Montana,100007500,Saint Louis,7/3/2011,2011,PHIPrivacy.net,PORT,7
1210,Allina Hospitals and Clinics,18,17000,Midwest,"Physician, Hospital",MED,Minnesota,100002900,Minneapolis-St.Paul,10/19/2006,2006,Dataloss DB,PORT,10
1211,Oregon Health and Science University,18,9,West,"Physician, Hospital",MED,Oregon,100069400,Portland,4/1/2013,2013,Media,PORT,4
1212,Oregon Health and Science University,18,890,West,"Physician, Hospital",EDU,Oregon,100069600,Portland,12/12/2008,2008,Dataloss DB,PORT,12
1213,Friendship Center Dental Office,18,-1,Southeast,"Physician, Hospital",MED,Florida,100031900,Ocala,1/29/2011,2011,HHS via PHIPrivacy.net,PORT,1
1214,University of Miami Health System,18,-1,Southeast,"Physician, Hospital",MED,Florida,100103000,Miami,9/7/2012,2012,PHIPrivacy.net,INSD,9
1215,University of Mississippi Medical Center (UMMC),18,-1,Southeast,"Physician, Hospital",EDU,Mississippi,100103400,Jackson,3/22/2013,2013,Media,PORT,3
1216,Hurley Medical Center,18,-1,Midwest,"Physician, Hospital",MED,Michigan,100040900,Flint,7/7/2011,2011,PHIPrivacy.net,PORT,7
1217,Logan County Emergency Ambulance Service Authority (LEASA),18,12563,Southeast,"Physician, Hospital",MED,West Virginia,100050700,Logan,12/9/2011,2011,HHS via PHIPrivacy.net,PORT,12
1218,Dean Clinic and St. Mary's Hospital,18,-1,Midwest,"Physician, Hospital",MED,Wisconsin,100022900,Madison,12/20/2010,2010,PHIPrivacy.net,PORT,12
1219,General Internal Medicine of Lancaster,18,-1,Northeast,"Physician, Hospital",MED,Pennsylvania,100032500,East Hempfield Township,4/27/2008,2008,Media,PORT,4
1220,Private Medical Practice,18,-1,Southeast,"Physician, Hospital",MED,Virginia,100076400,Chesapeake,9/21/2010,2010,HHS via PHIPrivacy.net,PORT,9
1221,Salina Regional Health Center,18,-1,Midwest,"Physician, Hospital",MED,Kansas,100081500,Salina,1/28/2007,2007,Dataloss DB,PORT,1
1222,Hanger Prosthetics and Orthotics Group,18,4486,Southwest,"Physician, Hospital",MED,Texas,100035400,Austin,11/18/2010,2010,Databreaches.net,PORT,11
1223,St. Charles Bend and Redmond,18,-1,West,"Physician, Hospital",MED,Oregon,100087100,Bend,12/21/2011,2011,PHIPrivacy.net,PORT,12
1224,Pediatric Sports and Spine Associates,18,-1,Southeast,"Physician, Hospital",MED,Tennessee,100071500,Brentwood,4/6/2010,2010,PHIPrivacy.net,PORT,4
1225,Division of Adult Institutions Folsom State Prison,18,0,NA,"Physician, Hospital",GOV,California,200000999,Represa,21-Nov-16,2016,California Attorney General,DISC,11
1226,Mankato Clinic,18,-1,Midwest,"Physician, Hospital",MED,Minnesota,100053200,Mankato,12/23/2010,2010,PHIPrivacy.net,PORT,12
1227,Albany Medical Center,18,-1,Northeast,"Physician, Hospital",MED,New York,100002200,Albany,2/17/2007,2007,Dataloss DB,PORT,2
1228,Georgia Health Sciences University,18,-1,Southeast,"Physician, Hospital",MED,Georgia,100033000,Augusta,3/15/2012,2012,PHIPrivacy.net,PORT,3
1229,National Institutes of Health,18,-1,Northeast,"Physician, Hospital",GOV,Maryland,100060600,Bethesda,3/24/2008,2008,Dataloss DB,PORT,3
1230,University of Rochester Medical Center (URMC),18,-1,Northeast,"Physician, Hospital",MED,New York,100104600,Rochester,9/3/2010,2010,PHIPrivacy.net,PORT,9
1231,University of Tennessee Medical Center,18,-1,Southeast,"Physician, Hospital",MED,Tennessee,100104800,Knoxville,11/1/2005,2005,Dataloss DB,PORT,11
1232,Lady of the Lake Regional Medical Center,18,-1,Southeast,"Physician, Hospital",MED,Louisiana,100047900,Baton Rouge,5/18/2012,2012,PHIPrivacy.net,PORT,5
1233,WESTMED Medical Group,18,-1,Northeast,"Physician, Hospital",MED,New York,100111600,Purchase,10/19/2010,2010,HHS via PHIPrivacy.net,PORT,10
1234,Indiana University School of Medicine,18,178,Midwest,"Physician, Hospital",EDU,Indiana,100042000,Indianapolis,9/9/2011,2011,PHIPrivacy.net,PORT,9
1235,University of Texas Arlington,18,"2,048",Southwest,"Physician, Hospital",EDU,Texas,100104900,Arlington,7/24/2010,2010,Databreaches.net,HACK,7
1236,University of Texas M.D. Anderson Cancer Center (M.D. Anderson),18,-1,Southwest,"Physician, Hospital",MED,Texas,100105300,Houston,7/2/2012,2012,PHIPrivacy.net,PORT,7
1237,Wolf & Yun,18,-1,Southeast,"Physician, Hospital",MED,Kentucky,100112400,Elizabethtown,8/3/2012,2012,HHS via PHIPrivacy.net,PORT,8
1238,Seton Healthcare Network,18,7800,Southwest,"Physician, Hospital",MED,Texas,100083200,North Austin,2/19/2007,2007,Dataloss DB,PORT,2
1239,"North Shore University Hospital, North Shore - Long Island Jewish Health System",18,950,Northeast,"Physician, Hospital",MED,New York,100063900,Manhasset,4/11/2012,2012,PHIPrivacy.net,UNKN,4
1240,Jefferson Center for Mental Health,18,-1,West,"Physician, Hospital",MED,Colorado,100044000,Wheat Ridge,3/16/2011,2011,HHS via PHIPrivacy.net,PORT,3
1241,"Heyman HospiceCare, Floyd Medical Center",18,-1,Southeast,"Physician, Hospital",MED,Georgia,100038500,Rome,2/17/2013,2013,PHIPrivacy.net,PORT,2
1242,South Sunflower County Hospital,18,"19,000",NA,"Physician, Hospital",MED,Mississippi,200000596,Indianola,4-Feb-15,2015,Government Agency,DISC,2
1243,Gastroenterology Consultants,18,-1,Midwest,"Physician, Hospital",MED,Nebraska,100032200,Omaha,10/6/2010,2010,PHIPrivacy.net,PHYS,10
1244,Dermatology Clinic,18,-1,Southeast,"Physician, Hospital",MED,North Carolina,100024800,Durham,1/29/2011,2011,PHIPrivacy.net,PHYS,1
1245,Harris County Hospital,18,1200,Southwest,"Physician, Hospital",MED,Texas,100035600,Houston,8/7/2008,2008,Dataloss DB,PORT,8
1246,ProMedica,18,14,Midwest,"Physician, Hospital",MED,Ohio,100076700,Toledo,9/20/2011,2011,PHIPrivacy.net,DISC,9
1247,Midwest Womens Healthcare Specialists,18,"1,500",NA,"Physician, Hospital",MED,Missouri,200000267,Kansas City ,27-May-14,2014,Media,PHYS,5
1248,Apothecary of Colorado,18,-1,West,"Physician, Hospital",MED,Colorado,100004700,Denver,12/28/2010,2010,PHIPrivacy.net,PHYS,12
1249,Good Samaritan Hospital,18,-1,Northeast,"Physician, Hospital",MED,Maryland,100033400,Baltimore,9/20/2011,2011,PHIPrivacy.net,PHYS,9
1250,Portsmouth Hospital,18,-1,Northeast,"Physician, Hospital",MED,New Hampshire,100073500,Manchester,11/4/2011,2011,PHIPrivacy.net,PHYS,11
1251,Private Medical Practice,18,-1,Southwest,"Physician, Hospital",MED,Texas,100076300,San Antonio,4/13/2011,2011,Databreaches.net,PHYS,4
1252,Behavioral Health Services of Pickens County,18,200,Southeast,"Physician, Hospital",MED,South Carolina,100008900,Pickens,11/9/2011,2011,PHIPrivacy.net,PORT,11
1253,Stevens Hospital Emergency Room via dishonest employee of billing company Med Data,18,30,West,"Physician, Hospital",MED,Washington,100090500,Edmonds,9/28/2006,2006,Dataloss DB,INSD,9
1254,Gressler Clinic,18,"1,400",Southeast,"Physician, Hospital",MED,Florida,100034300,Winter Haven,6/13/2012,2012,PHIPrivacy.net,PHYS,6
1255,Gulf Coast Medical Center,18,"1,900",Southeast,"Physician, Hospital",MED,Tennessee,100034900,Nashville,2/28/2007,2007,Dataloss DB,PORT,2
1256,Gundersen Lutheran Medical Center,18,-1,Midwest,"Physician, Hospital",MED,Wisconsin,100035100,LaCrosse,11/29/2006,2006,Media,INSD,11
1257,Mercy Medical Center,18,-1,West,"Physician, Hospital",MED,California,100056500,Merced,9/15/2006,2006,Dataloss DB,PORT,9
1258,Jackson Memorial Hospital,18,-1,Southeast,"Physician, Hospital",MED,Florida,100043100,Miami,7/31/2009,2009,Media,INSD,7
1259,"Piedmont Behavioral Healthcare (PBH), Alamance-Caswell LME (AC LME)",18,-1,Southeast,"Physician, Hospital",MED,North Carolina,100072500,Concord,2/25/2012,2012,HHS via PHIPrivacy.net,DISC,2
1260,Charlie Norwood VA Medical Center,18,-1,Southeast,"Physician, Hospital",GOV,Georgia,100017200,Augusta,6/1/2012,2012,PHIPrivacy.net,PORT,6
1261,Chattanooga Family Practice Associates,18,-1,Southeast,"Physician, Hospital",MED,Tennessee,100017300,Chattanooga,9/2/2010,2010,HHS via PHIPrivacy.net,PORT,9
1262,"Saint Mary's Hospital, Naugatuck Valley Community College",18,-1,Northeast,"Physician, Hospital",MED,Connecticut,100081300,Waterbury,4/23/2012,2012,PHIPrivacy.net,DISC,4
1263,Gulf Coast Health Care Services,18,-1,Southeast,"Physician, Hospital",MED,Florida,100034700,Pensacola,11/10/2012,2012,HHS via PHIPrivacy.net,INSD,11
1264,John E. Gonzalez DDS,18,0,NA,"Physician, Hospital",MED,California,200000846,Los Angeles,14-Aug-16,2016,California Attorney General,PORT,8
1265,"Julie A. Kennedy, D.M.D.",18,-1,Southeast,"Physician, Hospital",MED,Florida,100044900,West Palm Beach,12/9/2011,2011,HHS via PHIPrivacy.net,STAT,12
1266,Lee Miller Rehab Associates,18,-1,Northeast,"Physician, Hospital",MED,Maryland,100049200,Baltimore,2/11/2013,2013,HHS via PHIPrivacy.net,STAT,2
1267,Silver Cross Hospital,18,"9,000",NA,"Physician, Hospital",MED,Illinois,200002592,New Lenox,30-Aug-17,2017,Media,HACK,8
1268,Northwestern Memorial Hospital,18,50,Midwest,"Physician, Hospital",MED,Illinois,100064400,Chicago,5/14/2012,2012,PHIPrivacy.net,INSD,5
1269,Wright-Patterson Medical Center,18,3800,Midwest,"Physician, Hospital",MED,Ohio,100113600,Dayton,8/17/2012,2012,PHIPrivacy.net,PHYS,8
1270,Long Chiropractic,18,-1,Midwest,"Physician, Hospital",MED,Ohio,100051300,Dayton,11/27/2012,2012,PHIPrivacy.net,PHYS,11
1271,Baptist Memorial Hospital,18,-1,Southeast,"Physician, Hospital",MED,Tennessee,100007300,Huntingdon,2/15/2011,2011,HHS via PHIPrivacy.net,UNKN,2
1272,Colorado Springs Hospital - Memorial Health System,18,-1,West,"Physician, Hospital",MED,Colorado,100019800,Colorado Springs,7/12/2011,2011,PHIPrivacy.net,INSD,7
1273,Tomah Memorial Hospital,18,-1,Midwest,"Physician, Hospital",MED,Wisconsin,100096000,Tomah,7/14/2010,2010,PHIPrivacy.net,INSD,7
1274,Brandywyne Healthcare Center,18,83,Southeast,"Physician, Hospital",MED,Florida,100011800,Winter Haven,9/15/2011,2011,PHIPrivacy.net,INSD,9
1275,Titus Regional Medical Center (TRMC),18,-1,Southwest,"Physician, Hospital",MED,Texas,100095900,Mount Pleasant,1/21/2012,2012,PHIPrivacy.net,INSD,1
1276,"Samaritan Hospital, Rensselaer County Jail",18,-1,Northeast,"Physician, Hospital",MED,New York,100081600,Troy,3/1/2013,2013,PHIPrivacy.net,INSD,3
1277,New Hampshire's Lakes Region General Hospital,18,1500,Northeast,"Physician, Hospital",MED,New Hampshire,100061500,Laconia,12/31/2008,2008,Dataloss DB,PHYS,12
1278,Northridge Hospital Medical Center,18,837,West,"Physician, Hospital",MED,California,100064100,Northridge,11/14/2010,2010,Databreaches.net,PHYS,11
1279,Carite Inc.,18,346,NA,"Physician, Hospital",BSO,Michigan,200002859,Madison Heights,23-Jan-18,2018,Security Breach Letter,HACK,1
1280,University Community Hospital,18,-1,Southeast,"Physician, Hospital",MED,Florida,100099100,Tampa,6/20/2007,2007,Media,DISC,6
1281,Blount memorial Hospital,18,-1,Southeast,"Physician, Hospital",MED,Tennessee,100009600,Maryville,10/18/2012,2012,PHIPrivacy.net,PORT,10
1282,Thomas Jefferson University Hospitals,18,"21,000",Northeast,"Physician, Hospital",EDU,Pennsylvania,100095500,Philadelphia,7/23/2010,2010,Databreaches.net,PORT,7
1283,Wright State Physicians,18,-1,Midwest,"Physician, Hospital",MED,Ohio,100113400,Dayton,8/18/2010,2010,HHS via PHIPrivacy.net,PORT,8
1284,Littleton Regional Hospital,18,-1,Northeast,"Physician, Hospital",MED,New Hampshire,100050400,Littleton,5/1/2009,2009,PHIPrivacy.net,INSD,5
1285,"Sitka Wellness Center, EMR4Doctors.com",18,566,West,"Physician, Hospital",MED,Alaska,100084400,Sitka,11/23/2011,2011,PHIPrivacy.net,DISC,11
1286,Sinai Medical Center of Jersey City LLC,18,-1,Northeast,"Physician, Hospital",MED,New Jersey,100084200,Jersey City,2/13/2013,2013,PHIPrivacy.net,INSD,2
1287,Kingsbrook Jewish Medical Center,18,-1,Northeast,"Physician, Hospital",MED,New York,100047100,Brooklyn,6/5/2006,2006,Dataloss DB,PORT,6
1288,Oregon State Hospital,18,-1,West,"Physician, Hospital",MED,Oregon,100069800,NA,4/24/2012,2012,PHIPrivacy.net,PHYS,4
1289,Kunz Opera House,18,-1,Midwest,"Physician, Hospital",MED,Illinois,100047500,NA,11/3/2011,2011,PHIPrivacy.net,PHYS,11
